Marketing Name,Product Code,Code,Product Type,Color Description,First Offer Date,Primary,Secondary,Accent,Match to Garment,Light Tonal,Dark Tonal,Neutral,Green,Match to Swoosh,Notes,Secondary Palette Title,Primary2,Secondary2,Accent2,Match to Garment2,Light Tonal2,Dark Tonal2,Neutral2,Green2,Match to Swoosh2,@Front Image,@Back Image
NIKE MODERN FIT WASHED SHORT,833233-512,512,"B43 BLL, BRL, BLP, ABLP",DEEP NIGHT/(DEEP NIGHT),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2385R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-512-LASBH001.PNG
NIKE MODERN FIT WASHED SHORT,833233-607,607,"B43 BLL, BRL, BLP, ABLP",SPORT FUCHSIA/(SPORT FUCHSIA),5/1/17,2297R,2296R,2500R,1183M,2500R,2376R,1084M,1250M,1183M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-607-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-607-LASBH001.PNG
NIKE MODERN FIT WASHED SHORT,833233-852,852,"B43 BLL, BRL, BLP, ABLP",MAX ORANGE/(MAX ORANGE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2420R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-852-LASBH001.PNG
NIKE MODERN FIT WASHED SHORT,833233-856,856,"B43 BLL, BRL, BLP, ABLP",BRIGHT MANDARIN/(BRTMAN),5/1/17,2297R,2296R,1021M,2330R,2256R,1021M,1138M,1369M,2330R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-856-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833233-856-LASBH001.PNG
MODERN FIT SEASONAL PRT SHORT,833235-100,100,"B43 BLL, BRL, BLP, ABLP",WHITE/(WHITE),1/1/17,2296R,2297R,1041M,1212M,1151M,1041M,1060M,1079M,2297R,MULTI COLOR PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833235-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833235-100-LASBH001.PNG
MODERN FIT SEASONAL PRT SHORT,833235-387,387,"B43 BLL, BRL, BLP, ABLP",PALM GREEN/(PALM GREEN),1/1/17,2296R,1337m,1393m,2601R,1337M,1393M,1128M,1048M,2601R,MULTI COLOR PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833235-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833235-387-LASBH001.PNG
MODERN FIT SEASONAL PRT SHORT,833235-487,487,"B43 BLL, BRL, BLP, ABLP",POLAR/(POLAR),3/1/17,2296R,1275M,1243M,1143M,1275M,1243M,1062M,1079M,1143M,MULTI COLOR PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833235-487-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833235-487-LASBH001.PNG
NIKE GOLF AERO REACT 1/2-ZIP,833278-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/BLACK/(REFLECTIVE SILV),1/1/17,2297R,2296R,1011M,1220S,1219S,2296R,1062M,1250M,1011M,TONAL THIN STRIPES OF 1220S & BLACK; BLACK ZIPPER,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-010-LASBH001.PNG
NIKE GOLF AERO REACT 1/2-ZIP,833278-100,100,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",WHITE/WLFGRY/(REFLECT BLACK),1/1/17,2296R,0967C,1086M,2297R,1086M,1118M,1060M,1079M,2296R,ZIPPER MATCH 0967C,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-100-LASBH001.PNG
NIKE GOLF AERO REACT 1/2-ZIP,833278-512,512,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/BLACK/(REFSIL),3/1/17,2297R,2296R,2437R,2439R,2437R,2603R,1128M,2323R,1011M,THIN STRIPES OF 2439R & BLACK; ZIPPER MATCH 2437R,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-512-LASBH001.PNG
NIKE GOLF AERO REACT 1/2-ZIP,833278-852,852,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",MAX ORANGE/BLACK/(REFSIL),1/1/17,1011M,2296R,2420R,1179M,1020M,1038M,1128M,1079M,1011M,THIN STRIPES OF 1179M & BLACK; ZIPPER MATCH 2420R,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833278-852-LASBH001.PNG
NIKE GOLF DRI-FIT KNIT 1/2-ZIP,833280-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/DARK GREY/(FLT SILVER),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,0918C,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-010-LASBH001.PNG
NIKE GOLF DRI-FIT KNIT 1/2-ZIP,833280-387,387,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",PALM GREEN/CARGO KHAKI/(BLACK),1/1/17,2297R,2296R,0918C,0552C,1099M,2601R,1128M,1048M,0918C,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-387-LASBH001.PNG
NIKE GOLF DRI-FIT KNIT 1/2-ZIP,833280-432,432,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",VIVID SKY/INDLBL/(BLACK),5/1/17,2296R,2297R,0918C,1289M,1092M,1096M,1138M,1079M,0918C,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-432-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-432-LASBH001.PNG
NIKE GOLF DRI-FIT KNIT 1/2-ZIP,833280-512,512,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/MEDBLU/(FLT SILVER),3/1/17,2297R,2296R,0918C,2385R,1266M,1197S,1128M,2323R,0918C,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-512-LASBH001.PNG
NIKE GOLF DRI-FIT KNIT 1/2-ZIP,833280-852,852,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",MAX ORANGE/GYM RED/(BLACK),1/1/17,2296R,2297R,0918C,2420R,1077M,1039M,1128M,1079M,0918C,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833280-852-LASBH001.PNG
NIKE DRI-FIT 1/2-ZIP LS TOP,833282-010,10,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/WHITE/(WHITE),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,2297R,COLLAR TRIM IS WHITE,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-010-LASBH001.PNG
NIKE DRI-FIT 1/2-ZIP LS TOP,833282-012,12,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",WOLF GREY/MAX ORANGE/(BLACK),1/1/17,2420R,2296R,1041M,1212M,1151M,1041M,2571R,1279M,2296R,COLLAR TRIM IS 2420R,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-012-LASBH001.PNG
NIKE DRI-FIT 1/2-ZIP LS TOP,833282-100,100,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",WHITE/WOLF GREY/(BLACK),1/1/17,2296R,1212M,1086M,2297R,1086M,1118M,1060M,1079M,2296R,COLLAR TRIM IS 1212M,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-100-LASBH001.PNG
NIKE DRI-FIT 1/2-ZIP LS TOP,833282-435,435,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",LT PHOTO BLUE/BLACK/(BLACK),1/1/17,2296R,2297R,1296M,1297M,1249S,1296M,1071C,1079M,2296R,COLLAR TRIM IS BLACK,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-435-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-435-LASBH001.PNG
NIKE DRI-FIT 1/2-ZIP LS TOP,833282-512,512,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",DEEP NIGHT/BLACK/(BLACK),3/1/17,2296R,2297R,1266M,2385R,1266M,1197S,1128M,2323R,2296R,COLLAR TRIM IS BLACK,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-512-LASBH001.PNG
NIKE DRI-FIT 1/2-ZIP LS TOP,833282-657,657,"T153 LC,RC, RS, LLH, LRH, BY, BRS, LCL, RCL",UNIVERSITY RED/ANTHRA/(BLACK),1/1/17,1241M,2297R,2623R,2378R,2420R,2623R,2568R,2545R,2296R,COLLAR TRIM IS 1241M,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-657-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833282-657-LASBH001.PNG
TW SWEATER TECH VEST,833286-010,10,"T171 RC, LLH, LRH",BLACK/BLACK/(WHITE),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,2297R,TW White,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833286-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833286-010-LASBH001.PNG
TW SWEATER TECH VEST,833286-091,91,"T171 RC, LLH, LRH",CARBON HEATHER/WHITE/(WHITE),1/1/17,2297R,2296R,1220S,1166S,1011S,1220S,1060M,1079M,2297R,TW White,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833286-091-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833286-091-LASBH001.PNG
NIKE SWEATER TECH FULL-ZIP,833290-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/(WOLF GREY),1/1/17,2297R,1220S,2585R,2296R,1219S,1220S,1062M,1250M,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833290-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833290-010-LASBH001.PNG
NIKE SWEATER TECH FULL-ZIP,833290-091,91,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",CARBON HEATHER/WHITE/(ANTHRA),1/1/17,0943C,2297R,2296R,1166S,1011S,1220S,1060M,1079M,0943C,ZIPPER MATCH 0943C,SLEEVE,1166S,2296R,2297R,0943C,1166S,2296R,1060M,1079M,0943C,V:\LINE PREP\Line Prep\SpSu 2017\New images\833290-091-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833290-091-LASBH001.PNG
NIKE SWEATER TECH CREW,833296-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/(WOLF GREY),1/1/17,2297R,1220S,2585R,2296R,1219S,1220S,1062M,1250M,2585R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833296-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833296-010-LASBH001.PNG
NIKE SWEATER TECH CREW,833296-091,91,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",CARB H/WHITE/ANTHRA/(ANTHRA),1/1/17,0943C,2297R,2296R,1166S,1011S,1220S,1060M,1079M,0943C,,SLEEVE,1166S,2296R,2297R,0943C,1166S,2296R,1060M,1079M,0943C,V:\LINE PREP\Line Prep\SpSu 2017\New images\833296-091-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833296-091-LASBH001.PNG
NIKE GOLF S/S SHIELD TOP,833302-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/WHITE/(WHITE),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,2297R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-010-LASBH001.PNG
NIKE GOLF S/S SHIELD TOP,833302-012,12,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",WOLF GREY/BLACK/(BLACK),1/1/17,2296R,2297R,1041M,1212M,1151M,1041M,2571R,1279M,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-012-LASBH001.PNG
NIKE GOLF S/S SHIELD TOP,833302-100,100,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",WHITE/WOLF GREY/(WOLF GREY),1/1/17,1212M,2296R,1086M,2297R,1086M,1118M,1060M,1079M,1212M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-100-LASBH001.PNG
NIKE GOLF S/S SHIELD TOP,833302-657,657,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",UNIVERSITY RED/ANTHRA/(BLACK),1/1/17,2296R,2297R,2623R,2378R,2420R,2623R,2568R,2545R,2296R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-657-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833302-657-LASBH001.PNG
PRINTED PACKABLE HOODED JKT,833316-010,10,"T211 LS, RS, LLH, LRH",BLACK/BLACK/(FLT SILVER),1/1/17,2297R,1219S,1011M,2296R,1219S,1220S,1062M,1250M,1011M,WHITE GRAPHIC AT CHEST; SWOOSH AT LEFT HAND OPENING,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-010-LASBH001.PNG
PRINTED PACKABLE HOODED JKT,833316-100,100,"T211 LS, RS, LLH, LRH",WHITE/WOLF GREY/(BLACK),1/1/17,2296R,2297R,1041M,1212M,1151M,1041M,1060M,1079M,2296R,BLACK GRAPHIC AT CHEST; SWOOSH AT LEFT HAND OPENING,HEM (FRONT & BACK) ONLY,2296R,1212M,1086M,2297R,1086M,1118M,1060M,1079M,2296R,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-100-LASBH001.PNG
PRINTED PACKABLE HOODED JKT,833316-512,512,"T211 LS, RS, LLH, LRH",DEEP NIGHT/BINYBL/(FLT SILVER),3/1/17,2297R,2437R,1011M,1243M,2625R,1244M,1128M,2323R,1011M,WHITE GRAPHIC AT CHEST; SWOOSH AT LEFT HAND OPENING,HEM (FRONT & BACK) ONLY,2297R,1243M,1266M,2437R,1266M,1197S,1128M,2323R,1011M,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-512-LASBH001.PNG
PRINTED PACKABLE HOODED JKT,833316-617,617,"T211 LS, RS, LLH, LRH",RACER PINK/ANTHRA/(FLT SILVER),5/1/17,1907M,2297R,1011M,1241M,1166S,2296R,1084M,1079M,1011M,WHITE GRAPHIC AT CHEST; SWOOSH AT LEFT HAND OPENING,HEM (FRONT & BACK) ONLY,1241M,2297R,1011M,1907M,2246R,2432R,1084M,1079M,1011M,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-617-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833316-617-LASBH001.PNG
TW GRAPHIC TEE,833318-010,10,"T185 RS, BY, BRS, LCL, RCL, LLH, LRH",BLACK/(MAX ORANGE),1/1/17,2420R,2297R,1164M,2296R,1219S,1220S,1062M,1250M,2420R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-010-LASBH001.PNG
TW GRAPHIC TEE,833318-012,12,"T185 RS, BY, BRS, LCL, RCL, LLH, LRH",WOLF GREY/(PURE PLATINUM),1/1/17,2296R,2297r,1164M,1212M,1151M,1041M,2571R,1279M,1151M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-012-LASBH001.PNG
TW GRAPHIC TEE,833318-100,100,"T185 RS, BY, BRS, LCL, RCL, LLH, LRH",WHITE/(ELECTRO GREEN),1/1/17,2312R,1164M,1118M,2297R,1086M,1118M,1060M,1079M,2312R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-100-LASBH001.PNG
TW GRAPHIC TEE,833318-512,512,"T185 RS, BY, BRS, LCL, RCL, LLH, LRH",DEEP NIGHT/(GLACIER BLUE),3/1/17,1118M,2297R,2296R,2385R,1266M,1197S,1128M,2323R,1151M,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-512-LASBH001.PNG
TW GRAPHIC TEE,833318-852,852,"T185 RS, BY, BRS, LCL, RCL, LLH, LRH",MAX ORANGE/(WOLF GREY),1/1/17,1118M,2296R,2297R,2420R,1077M,1039M,1128M,1079M,1212R,,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833318-852-LASBH001.PNG
NIKE GOLF GRAPHIC TEE,833324-010,10,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",BLACK/(WHITE),1/1/17,2297R,1219S,1220S,2296R,1219S,1220S,1062M,1250M,2297R,WHITE GRAPHIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-010-LASBH001.PNG
NIKE GOLF GRAPHIC TEE,833324-012,12,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",WOLF GREY/(WHITE),1/1/17,2297R,2296R,1041M,1212M,1151M,1041M,2571R,1279M,2297R,WHITE GRAPHIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-012-LASBH001.PNG
NIKE GOLF GRAPHIC TEE,833324-100,100,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",WHITE/(BLACK),1/1/17,2296R,1118M,1118M,2297R,1086M,1118M,1060M,1079M,2296R,BLACK GRAPHIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-100-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-100-LASBH001.PNG
NIKE GOLF GRAPHIC TEE,833324-512,512,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",DEEP NIGHT/(WHITE),3/1/17,2297R,2296R,1266M,2385R,1266M,1197S,1128M,2323R,2297R,WHITE GRAPHIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-512-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-512-LASBH001.PNG
NIKE GOLF GRAPHIC TEE,833324-852,852,"T173 LS, RS, BY, LRH, LLH, LCL, RCL, BRS",MAX ORANGE/(WHITE),1/1/17,2297R,2296R,1077M,2420R,1077M,1039M,1128M,1079M,2297R,WHITE GRAPHIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833324-852-LASBH001.PNG
NIKE ZONED AEROLAYER JACKET,833328-010,10,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",BLACK/MAXORG/(REFLECTIVE SILV),1/1/17,2297R,1219S,2263R,2296R,1219S,1220S,1062M,1250M,1011M,INSIDE JACKET MATCH IS 2263R; SLEEVE FABRIC IS BLACK & WHITE THIN VERTICAL LINES,SLEEVES,2296R,1011M,2263R,2297R,1086M,1118M,1062M,1079M,1011M,V:\LINE PREP\Line Prep\SpSu 2017\New images\833328-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833328-010-LASBH001.PNG
NIKE ZONED AEROLAYER JACKET,833328-387,387,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",PALM GREEN/MAXORG/(REFBLK),1/1/17,2296R,2297R,2263R,0552C,1099M,2601R,1128M,1048M,2296R,INSIDE JACKET MATCH IS 2263R; SLEEVE FABRIC IS BLACK & WHITE THIN VERTICAL LINES,SLEEVES,0552C,2296R,2263R,2297R,1086M,1118M,1062M,1079M,1011M,V:\LINE PREP\Line Prep\SpSu 2017\New images\833328-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833328-387-LASBH001.PNG
NIKE ZONED AEROLAYER VEST,833334-010,10,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",BLACK/MAXORG/(REFLECTIVE SILV),1/1/17,2297R,1219S,2263R,2296R,1219S,1220S,1062M,1250M,1011M,INSIDE VEST MATCH IS 2263r,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833334-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833334-010-LASBH001.PNG
NIKE ZONED AEROLAYER VEST,833334-387,387,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",PALM GREEN/MAXORG/(REFBLK),1/1/17,2296R,2297R,2263R,0552C,1099M,2601R,1128M,1048M,2296R,INSIDE VEST MATCH IS 2263r,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\833334-387-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\833334-387-LASBH001.PNG
NIKE PADDED VEST,838724-010,10,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",BLACK/WOLF GREY/(FLT SILVER),1/1/17,2297R,1212M,1220S,2296R,1219S,1220S,1062M,1250M,1212M,INSIDE VEST MATCH IS 1212M,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\838724-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838724-010-LASBH001.PNG
NIKE PADDED VEST,838724-325,325,"T187 RC, BY, LLH, LRH, BRS, LCL, RCL",CARGO KHAKI/MAXORG/(FLSLVR),1/1/17,1212M,2296R,2329R,1393M,1394M,1131M,2474R,1308M,1212M,INSIDE VEST MATCH IS 2329R,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\838724-325-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838724-325-LASBH001.PNG
NIKE GOLF W ENG GRAPHIC RCRBCK,838761-483,483,"T231 LLH, LRH, BY, BRS, LCL, RCL",PLRZBL/RACPIN/LAVAGL/(M SILV),5/1/17,2297R,1212M,2500R,2228R,2223R,2500R,1138M,1079M,1212M,SPLATTER PAINT FABRIC,BACK YOKE ONLY,2297R,1212M,2228R,1093M,2239R,1096M,1060M,1250M,1212M,V:\LINE PREP\Line Prep\SpSu 2017\New images\838761-483-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838761-483-LASBH001.PNG
"NIKE GOLF PRINTED 4.5"" SHORT",838763-010,10,"B37 BRL, BRP, BLP, ABLP",BLACK/WHITE/(METALLIC SILVER),1/1/17,1011M,2296R,1220S,2297R,1086M,1118M,1060M,1250M,1011M,BLACK & WHITE PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-010-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-010-LASBH001.PNG
"NIKE GOLF PRINTED 4.5"" SHORT",838763-012,12,"B37 BRL, BRP, BLP, ABLP",WOLF GREY/WHITE/(M SILV),1/1/17,2296R,1011M,1012M,2297R,1086M,1012M,1060M,1279M,1011M,WHITE & 1012M PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-012-LASBH001.PNG
"NIKE GOLF PRINTED 4.5"" SHORT",838763-452,452,"B37 BRL, BRP, BLP, ABLP",PARAMOUNT BLUE/UNVBLU/(M SILV),3/1/17,1011M,2296R,1266M,1373M,1092M,1266M,1060M,1250M,1011M,1373M & 1266M PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-452-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-452-LASBH001.PNG
"NIKE GOLF PRINTED 4.5"" SHORT",838763-665,665,"B37 BRL, BRP, BLP, ABLP",TRUE BERRY/VVDPNK/(M SILV),5/1/17,1011M,2297R,1388M,2590R,2260R,1388M,1060M,1250M,1011M,2590R & 1388M PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-665-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-665-LASBH001.PNG
"NIKE GOLF PRINTED 4.5"" SHORT",838763-852,852,"B37 BRL, BRP, BLP, ABLP",MAX ORANGE/LAVAGL/(M SILV),1/1/17,1011M,2297R,1307M,1107M,1016M,1307M,1128M,1079M,1011M,1107M & 1307M PATTERN FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-852-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\838763-852-LASBH001.PNG
NIKE MDN FIT TR DRY 6/1 PRT,839491-012,12,"T154 RC, LS, RS, LLH, LRH, BY, BRS, LCL, RCL",WOLF GREY/WHITE/(BLACK),5/1/17,2296R,2297R,1164M,0919C,1012M,1164M,2571R,1279M,2296R,WHITE SPOTTED FABRIC,,,,,,,,,,,V:\LINE PREP\Line Prep\SpSu 2017\New images\839491-012-LASFH001.PNG,V:\LINE PREP\Line Prep\SpSu 2017\New images\839491-012-LASBH001.PNG
